Team,Matches_played,Matches_won,Matches_lost,Total_pts,Avg_pts,Successful_raids,Successful_tackles,Raid_pts,Tackle_pts,Avg_raid_pts,Avg_tackle_pts,Super_tackles,DOD_raid_pts,Total_pts_conceded,Super_raids,Total_raids,All_outs_inflicted,All_outs_conceded
Patna Pirates,22,10,11,844,38.36,413,187,516,201,23.25,9.14,22,65,812,11,912,35,24
Telugu Titans,21,12,9,789,37.57,356,209,458,227,21.81,10.81,18,63,744,8,864,28,28
Puneri Paltan,21,14,7,792,37.71,351,220,420,244,20.00,11.62,27,52,728,11,844,39,20
Haryana Steelers,19,10,9,724,38.11,321,195,407,223,21.42,11.74,28,43,709,8,790,31,30
Bengaluru Bulls,20,11,8,721,36.05,318,203,401,221,20.05,11.05,19,56,662,7,815,28,21
Bengal Warriorz,18,6,12,698,38.78,369,146,462,160,25.67,8.89,16,24,807,8,751,20,34
Dabang Delhi KC,20,15,5,705,35.25,299,199,395,207,19.75,10.35,10,65,681,20,796,30,20
Jaipur Pink Panthers,20,9,11,665,33.25,310,171,385,188,19.25,9.4,19,45,735,9,830,21,28
U Mumba,19,10,9,663,34.89,288,194,352,219,18.53,11.53,27,47,687,11,807,20,25
Tamil Thalaivas,18,6,12,621,34.5,285,182,354,195,19.67,10.83,14,42,656,8,738,21,27
UP Yoddhas,18,7,11,596,33.11,284,159,365,164,20.28,9.11,6,43,666,11,762,17,28
Gujrat Giants,18,6,12,577,32.06,247,170,319,191,17.72,10.61,23,53,662,5,761,18,23
